merchant_id,merchant_name,category,mcc_code,city
MER060,Healthcare Store 60,Healthcare,5081,Noida
MER061,Grocery Store 61,Grocery,5887,Coimbatore
MER062,Food Store 62,Food,5389,Vellore
MER063,Healthcare Store 63,Healthcare,5464,Bengaluru
MER064,Entertainment Store 64,Entertainment,5166,Bhopal
MER065,Entertainment Store 65,Entertainment,5363,Guwahati
MER066,Grocery Store 66,Grocery,5686,Nagpur
MER067,Healthcare Store 67,Healthcare,5718,Kochi
MER068,Food Store 68,Food,5623,Vellore
MER069,Travel Store 69,Travel,5546,Surat
MER070,Grocery Store 70,Grocery,5167,Kolkata
MER071,Fuel Store 71,Fuel,5388,Ranchi
MER072,Healthcare Store 72,Healthcare,5947,Vellore
MER073,Grocery Store 73,Grocery,5701,Bengaluru
MER074,Entertainment Store 74,Entertainment,5863,Patna
MER075,Shopping Store 75,Shopping,5234,Hyderabad
MER076,Shopping Store 76,Shopping,5824,Noida
MER077,Entertainment Store 77,Entertainment,5410,Bhubaneswar
MER078,Healthcare Store 78,Healthcare,5067,Vellore
MER079,Grocery Store 79,Grocery,5935,Nagpur
MER080,Entertainment Store 80,Entertainment,5217,Guwahati
MER081,Fuel Store 81,Fuel,5405,Vellore
MER082,Fuel Store 82,Fuel,5146,Pune
MER083,Healthcare Store 83,Healthcare,5142,Ranchi
MER084,Grocery Store 84,Grocery,5762,Coimbatore
MER085,Healthcare Store 85,Healthcare,5764,Bhopal
MER086,Utilities Store 86,Utilities,5919,Bengaluru
MER087,Utilities Store 87,Utilities,5370,Guwahati
MER088,Grocery Store 88,Grocery,5141,Mumbai
MER089,Fuel Store 89,Fuel,5093,Mumbai
MER090,Shopping Store 90,Shopping,5881,Raipur
MER091,Food Store 91,Food,5156,Raipur
MER092,Travel Store 92,Travel,5811,Chandigarh
MER093,Utilities Store 93,Utilities,5610,Hyderabad
MER094,Food Store 94,Food,5394,Chandigarh
MER095,Utilities Store 95,Utilities,5610,Mumbai
MER096,Fuel Store 96,Fuel,5541,Jaipur
MER097,Healthcare Store 97,Healthcare,5994,Surat
MER098,Shopping Store 98,Shopping,5696,Coimbatore
MER099,Food Store 99,Food,5698,Coimbatore
MER100,Healthcare Store 100,Healthcare,5787,Ahmedabad
MER101,Entertainment Store 101,Entertainment,5114,Coimbatore
MER102,Healthcare Store 102,Healthcare,5445,Bhopal
MER103,Travel Store 103,Travel,5464,Raipur
MER104,Shopping Store 104,Shopping,5976,Ahmedabad
MER105,Healthcare Store 105,Healthcare,5995,Noida
MER106,Travel Store 106,Travel,5519,Nagpur
MER107,Food Store 107,Food,5891,Guwahati
MER108,Healthcare Store 108,Healthcare,5861,Mumbai
MER109,Grocery Store 109,Grocery,5156,Chandigarh
MER110,Entertainment Store 110,Entertainment,5780,Ranchi
MER111,Travel Store 111,Travel,5552,Hyderabad
MER112,Shopping Store 112,Shopping,5613,Gurugram
MER113,Entertainment Store 113,Entertainment,5500,Bengaluru
MER114,Shopping Store 114,Shopping,5114,Bengaluru
MER115,Entertainment Store 115,Entertainment,5899,Noida
MER116,Healthcare Store 116,Healthcare,5245,Pune
MER117,Shopping Store 117,Shopping,5246,Pune
MER118,Food Store 118,Food,5087,Bengaluru
MER119,Fuel Store 119,Fuel,5835,Raipur
MER120,Food Store 120,Food,5778,Chennai
