transaction_id,account_id,merchant_id,branch_id,transaction_datetime,transaction_type,amount,payment_method,channel,opening_balance,closing_balance,status,reference_no
TXN0000021,ACC002984,MER001,BR004,2025-01-30 00:29:00,Debit,1745.55,UPI,Mobile Banking,133118.92,131373.37,Success,REF5747560951
TXN0000022,ACC005961,MER082,BR016,2025-04-24 05:32:00,Debit,2803.01,Debit Card,POS,218711.71,215908.7,Success,REF3608994010
TXN0000023,ACC003197,MER031,BR009,2025-07-04 08:15:00,Debit,123.1,Debit Card,Mobile Banking,94704.1,94581.0,Success,REF3508500132
TXN0000024,ACC001559,MER008,BR016,2026-08-22 13:16:00,Debit,540.35,IMPS,Mobile Banking,45796.23,45255.88,Success,REF2997853542
TXN0000025,ACC000355,MER043,BR022,2025-12-13 10:18:00,Debit,1478.07,NEFT,Mobile Banking,48746.3,47268.23,Success,REF7730953531
TXN0000026,ACC002356,MER002,BR003,2026-02-23 06:55:00,Credit,1645.03,Debit Card,POS,281224.98,282870.01,Success,REF1036299357
TXN0000027,ACC004302,MER089,BR002,2025-08-18 07:26:00,Debit,4806.69,Credit Card,ATM,55611.69,50805.0,Success,REF9345965191
TXN0000028,ACC000229,MER081,BR008,2025-08-11 10:36:00,Debit,1570.57,UPI,Mobile Banking,142133.14,140562.57,Success,REF2687637322
TXN0000029,ACC004696,MER118,BR018,2025-08-01 00:08:00,Debit,1419.63,Debit Card,Internet Banking,241917.57,240497.94,Success,REF9783701951
TXN0000030,ACC002692,MER058,BR020,2025-06-30 19:55:00,Debit,1355.03,UPI,Internet Banking,149857.21,148502.18,Success,REF3067934782
TXN0000031,ACC003803,MER031,BR009,2026-06-13 02:49:00,Debit,1412.84,NEFT,POS,35765.59,34352.75,Success,REF8276184169
TXN0000032,ACC003014,MER027,BR008,2026-01-22 09:08:00,Debit,3767.31,Debit Card,Mobile Banking,128334.27,124566.96,Success,REF6949892564
TXN0000033,ACC004065,MER094,BR001,2025-10-19 10:30:00,Debit,369.92,UPI,Internet Banking,23348.63,22978.71,Success,REF9671598036
TXN0000034,ACC004113,MER052,BR017,2026-01-11 02:33:00,Debit,2214.65,UPI,Mobile Banking,83971.08,81756.43,Success,REF3168020496
TXN0000035,ACC003062,MER070,BR016,2025-10-16 11:24:00,Debit,1002.31,UPI,ATM,137163.51,136161.2,Success,REF3628984683
TXN0000036,ACC001071,MER002,BR020,2026-02-01 04:11:00,Credit,3851.16,UPI,Internet Banking,90639.46,94490.62,Success,REF3777733568
TXN0000037,ACC001875,MER086,BR016,2026-03-15 01:08:00,Debit,859.86,Credit Card,ATM,30053.18,29193.32,Success,REF3714294179
TXN0000038,ACC005116,MER032,BR001,2025-12-02 08:29:00,Debit,873.03,UPI,POS,129072.12,128199.09,Success,REF6473691598
TXN0000039,ACC003054,MER102,BR014,2026-04-11 15:37:00,Debit,1448.66,IMPS,Internet Banking,77216.32,75767.66,Success,REF3678450363
TXN0000040,ACC004024,MER076,BR016,2025-05-13 11:41:00,Debit,909.91,UPI,Mobile Banking,60050.66,59140.75,Success,REF6858461845
TXN0000041,ACC001232,MER094,BR004,2025-06-16 17:34:00,Debit,393.81,UPI,Mobile Banking,119544.26,119150.45,Success,REF5421492910
TXN0000042,ACC004351,MER002,BR013,2025-07-23 05:06:00,Credit,1046.37,UPI,POS,86721.17,87767.54,Success,REF4864989456
TXN0000043,ACC003926,MER072,BR008,2026-08-05 13:59:00,Debit,1188.14,Debit Card,POS,134908.95,133720.81,Success,REF4718953738
TXN0000044,ACC003759,MER105,BR025,2026-02-12 14:46:00,Debit,938.71,IMPS,POS,53718.68,52779.97,Success,REF8022172507
TXN0000045,ACC000830,MER032,BR015,2025-11-06 07:09:00,Debit,86.78,IMPS,Mobile Banking,133551.16,133464.38,Success,REF5602468194
TXN0000046,ACC002628,MER016,BR014,2025-10-19 08:59:00,Debit,1394.13,Debit Card,Mobile Banking,161190.53,159796.4,Success,REF3620279198
TXN0000047,ACC001815,MER015,BR016,2026-04-29 01:29:00,Debit,496.68,Debit Card,Mobile Banking,132526.49,132029.81,Success,REF8596243499
TXN0000048,ACC005796,MER036,BR022,2025-10-10 18:30:00,Debit,1674.85,Credit Card,Mobile Banking,67531.21,65856.36,Success,REF9571794738
TXN0000049,ACC004621,MER098,BR025,2026-08-18 02:11:00,Debit,5713.23,NEFT,Mobile Banking,93218.52,87505.29,Success,REF6769594344
TXN0000050,ACC002795,MER078,BR018,2025-07-03 15:52:00,Debit,1274.29,Credit Card,Internet Banking,303394.38,302120.09,Success,REF5616049099
TXN0000051,ACC001064,MER096,BR019,2025-11-28 03:13:00,Debit,3399.35,Credit Card,POS,72458.58,69059.23,Success,REF5041166222
TXN0000052,ACC001284,MER055,BR021,2025-07-24 12:42:00,Debit,1654.56,Credit Card,POS,68247.38,66592.82,Success,REF1442272608
TXN0000053,ACC003826,MER110,BR005,2025-10-20 00:53:00,Debit,2157.6,Debit Card,POS,156404.61,154247.01,Success,REF5534594135
TXN0000054,ACC006186,MER065,BR015,2026-07-19 17:56:00,Debit,1904.88,Credit Card,POS,103930.42,102025.54,Success,REF7353734534
TXN0000055,ACC002673,MER087,BR021,2025-01-08 22:02:00,Debit,786.34,UPI,Mobile Banking,102961.37,102175.03,Success,REF1977465007
TXN0000056,ACC001622,MER105,BR021,2025-10-25 11:20:00,Debit,3366.95,NEFT,Mobile Banking,129670.22,126303.27,Success,REF4049978655
TXN0000057,ACC003961,MER079,BR018,2025-03-05 23:17:00,Debit,1579.01,IMPS,Mobile Banking,60646.28,59067.27,Success,REF2870601210
TXN0000058,ACC004984,MER002,BR018,2025-10-31 00:51:00,Credit,1060.75,Debit Card,Mobile Banking,26654.29,27715.04,Success,REF8508793781
TXN0000059,ACC004473,MER010,BR019,2025-08-12 01:29:00,Debit,1295.49,UPI,POS,119073.17,117777.68,Success,REF1368525744
TXN0000060,ACC004582,MER023,BR014,2025-07-15 09:00:00,Debit,992.1,Credit Card,POS,125206.51,124214.41,Success,REF3598065937
TXN0000061,ACC005316,MER002,BR012,2025-09-14 02:06:00,Credit,1409.23,Credit Card,POS,186620.16,188029.39,Success,REF5899890370
TXN0000062,ACC002282,MER064,BR014,2025-03-23 16:41:00,Debit,4290.84,UPI,Mobile Banking,72588.36,68297.52,Success,REF8117106429
TXN0000063,ACC005858,MER095,BR014,2026-07-29 03:06:00,Debit,1288.45,UPI,Internet Banking,212802.54,211514.09,Success,REF3695311294
TXN0000064,ACC003685,MER114,BR025,2025-08-16 07:32:00,Debit,3094.72,UPI,Mobile Banking,37587.01,34492.29,Failed,REF3364860754
TXN0000065,ACC001537,MER099,BR015,2025-06-25 07:03:00,Debit,1842.39,UPI,Mobile Banking,123218.98,121376.59,Success,REF4164559979
TXN0000066,ACC003247,MER106,BR010,2025-05-02 14:29:00,Debit,6384.9,IMPS,Internet Banking,72235.18,65850.28,Success,REF5849477582
TXN0000067,ACC005798,MER106,BR020,2025-12-26 14:19:00,Debit,6797.38,UPI,Mobile Banking,245615.43,238818.05,Success,REF5312801280
TXN0000068,ACC004153,MER119,BR020,2025-02-13 02:56:00,Debit,860.47,Credit Card,POS,92605.06,91744.59,Failed,REF4281206484
TXN0000069,ACC005150,MER060,BR014,2026-01-01 14:44:00,Debit,5517.32,UPI,Mobile Banking,162738.84,157221.52,Success,REF4729103818
TXN0000070,ACC000760,MER030,BR022,2025-01-16 17:41:00,Debit,1779.57,UPI,Internet Banking,71406.82,69627.25,Success,REF8596060477
TXN0000071,ACC003950,MER026,BR002,2025-04-27 18:07:00,Debit,2917.43,UPI,POS,92930.93,90013.5,Success,REF7764564619
TXN0000072,ACC002780,MER067,BR016,2025-09-04 00:46:00,Debit,1083.24,IMPS,Internet Banking,351632.56,350549.32,Success,REF8840841577
TXN0000073,ACC004149,MER032,BR014,2025-06-24 18:23:00,Debit,1951.8,Debit Card,Internet Banking,100559.43,98607.63,Success,REF7833257687
TXN0000074,ACC005057,MER002,BR023,2025-05-06 09:40:00,Credit,610.78,Debit Card,Internet Banking,134488.6,135099.38,Success,REF5094573926
TXN0000075,ACC005023,MER088,BR009,2025-05-01 12:23:00,Debit,703.19,IMPS,ATM,174173.43,173470.24,Success,REF6192874065
TXN0000076,ACC002943,MER022,BR019,2025-02-16 23:31:00,Debit,397.24,Debit Card,ATM,251193.49,250796.25,Success,REF3507195220
TXN0000077,ACC005198,MER075,BR017,2025-07-14 13:13:00,Debit,3339.48,NEFT,Internet Banking,162230.13,158890.65,Success,REF1388325992
TXN0000078,ACC002504,MER016,BR002,2026-07-08 12:53:00,Debit,3188.27,Credit Card,Internet Banking,40467.0,37278.73,Success,REF9859675308
TXN0000079,ACC002423,MER107,BR021,2026-04-20 05:49:00,Debit,1170.14,NEFT,Mobile Banking,150151.25,148981.11,Success,REF6547448417
TXN0000080,ACC002028,MER002,BR017,2026-07-25 16:00:00,Credit,1305.42,Debit Card,Internet Banking,163034.74,164340.16,Success,REF5834967620
TXN0000081,ACC006117,MER094,BR010,2025-04-02 16:22:00,Debit,1057.52,Debit Card,Internet Banking,289449.19,288391.67,Success,REF3796498671
TXN0000082,ACC000628,MER067,BR022,2026-04-09 17:15:00,Debit,1113.75,Debit Card,Mobile Banking,123036.93,121923.18,Success,REF9322644407
TXN0000083,ACC005043,MER015,BR003,2025-01-03 10:10:00,Debit,424.04,IMPS,Internet Banking,107377.28,106953.24,Success,REF3165467033
TXN0000084,ACC004667,MER103,BR003,2025-06-13 06:00:00,Debit,1849.75,NEFT,Internet Banking,74627.08,72777.33,Success,REF8522349271
TXN0000085,ACC000466,MER080,BR004,2025-10-18 00:41:00,Debit,887.85,Debit Card,Mobile Banking,125078.47,124190.62,Success,REF3665963594
TXN0000086,ACC001420,MER002,BR016,2025-09-07 22:02:00,Credit,2672.86,Debit Card,Mobile Banking,88529.2,91202.06,Success,REF8447955894
TXN0000087,ACC002833,MER040,BR025,2025-12-17 09:25:00,Debit,10184.82,UPI,Internet Banking,341965.62,331780.8,Success,REF5483011639
TXN0000088,ACC006193,MER092,BR021,2025-11-05 22:18:00,Debit,2681.86,UPI,Mobile Banking,30195.85,27513.99,Success,REF4478962187
TXN0000089,ACC001545,MER034,BR002,2026-02-04 20:25:00,Debit,2983.61,UPI,Internet Banking,153297.81,150314.2,Success,REF5725657868
TXN0000090,ACC001143,MER038,BR017,2025-07-09 21:54:00,Debit,1258.79,UPI,POS,140905.85,139647.06,Success,REF6376086490
TXN0000091,ACC003662,MER073,BR001,2025-03-21 11:29:00,Debit,1704.9,UPI,POS,201396.22,199691.32,Success,REF6305096456
TXN0000092,ACC004459,MER062,BR004,2026-05-28 21:51:00,Debit,1242.32,UPI,Mobile Banking,86723.09,85480.77,Success,REF2971955869
TXN0000093,ACC004794,MER001,BR001,2026-07-01 16:36:00,Credit,70688.79,NEFT,Internet Banking,22788.91,93477.7,Success,REF1129083484
TXN0000094,ACC000981,MER045,BR021,2026-07-17 03:01:00,Debit,1028.29,IMPS,POS,88063.34,87035.05,Success,REF4470240513
TXN0000095,ACC004657,MER001,BR010,2025-02-26 05:32:00,Debit,8702.84,Debit Card,Mobile Banking,122683.51,113980.67,Success,REF8492907366
TXN0000096,ACC005235,MER113,BR016,2025-09-29 12:42:00,Debit,1148.43,UPI,Internet Banking,212879.83,211731.4,Success,REF8056307604
TXN0000097,ACC005376,MER090,BR008,2025-04-02 09:29:00,Debit,2015.13,NEFT,ATM,133868.74,131853.61,Success,REF7205976102
TXN0000098,ACC000759,MER084,BR010,2025-05-26 10:02:00,Debit,1490.89,UPI,POS,86128.58,84637.69,Success,REF1199954820
TXN0000099,ACC000503,MER043,BR011,2025-03-30 00:46:00,Debit,3396.22,Debit Card,Internet Banking,272068.92,268672.7,Success,REF8663837372
TXN0000100,ACC003756,MER088,BR013,2025-04-14 16:52:00,Debit,484.83,Credit Card,Mobile Banking,129849.59,129364.76,Success,REF3510329882
TXN0000101,ACC002337,MER041,BR016,2025-12-30 05:52:00,Debit,2529.66,UPI,POS,148494.95,145965.29,Success,REF9009979057
TXN0000102,ACC004443,MER114,BR019,2025-06-04 15:02:00,Debit,2741.62,NEFT,POS,213801.18,211059.56,Success,REF7038763253
TXN0000103,ACC002924,MER045,BR012,2026-05-29 19:01:00,Debit,1668.18,Debit Card,Mobile Banking,136819.87,135151.69,Success,REF7088223323
TXN0000104,ACC004889,MER014,BR017,2025-12-31 09:41:00,Debit,1135.71,Debit Card,Mobile Banking,111018.51,109882.8,Success,REF3063552167
TXN0000105,ACC002423,MER002,BR001,2026-04-30 10:08:00,Credit,3133.52,Credit Card,POS,148981.11,152114.64,Success,REF2143513104
TXN0000106,ACC004762,MER053,BR006,2025-04-24 19:28:00,Debit,2196.52,NEFT,Internet Banking,67184.17,64987.65,Success,REF4365185090
TXN0000107,ACC005268,MER106,BR007,2025-02-03 12:59:00,Debit,4438.16,Debit Card,Internet Banking,112643.57,108205.41,Success,REF1520480972
TXN0000108,ACC005785,MER065,BR003,2025-04-21 11:25:00,Debit,398.67,UPI,Mobile Banking,484443.44,484044.77,Success,REF6803189617
TXN0000109,ACC004742,MER028,BR002,2026-07-02 02:19:00,Debit,294.79,Debit Card,Internet Banking,65154.24,64859.45,Success,REF6844832600
TXN0000110,ACC004128,MER076,BR008,2025-10-12 22:55:00,Debit,4352.49,Credit Card,ATM,38105.67,33753.18,Success,REF1927644249
TXN0000111,ACC001847,MER111,BR004,2025-12-22 01:31:00,Debit,484.22,UPI,POS,106646.18,106161.96,Success,REF7053859761
TXN0000112,ACC003067,MER002,BR004,2026-01-23 04:08:00,Credit,704.55,Credit Card,POS,17948.14,18652.69,Success,REF7946736309
TXN0000113,ACC001685,MER113,BR002,2026-04-19 08:26:00,Debit,835.29,UPI,POS,72906.97,72071.68,Success,REF7528971738
TXN0000114,ACC004232,MER114,BR014,2025-05-24 11:44:00,Debit,19665.22,Debit Card,Internet Banking,171880.68,152215.46,Success,REF5156592388
TXN0000115,ACC001718,MER002,BR014,2026-01-21 04:28:00,Credit,1192.8,UPI,Internet Banking,252707.58,253900.38,Success,REF3574943997
TXN0000116,ACC004491,MER026,BR005,2025-07-20 07:06:00,Debit,2694.76,UPI,ATM,51713.09,49018.33,Success,REF6909004261
TXN0000117,ACC003530,MER034,BR021,2026-01-12 20:37:00,Debit,1884.79,Debit Card,ATM,158460.77,156575.98,Success,REF5589353714
TXN0000118,ACC004644,MER060,BR016,2025-03-15 03:05:00,Debit,2022.67,UPI,Mobile Banking,93778.29,91755.62,Success,REF2927319634
TXN0000119,ACC005298,MER094,BR014,2026-07-12 10:39:00,Debit,1092.57,NEFT,Mobile Banking,373745.18,372652.61,Success,REF8016686539
TXN0000120,ACC001246,MER051,BR005,2025-03-23 23:16:00,Debit,2437.63,IMPS,Internet Banking,311002.75,308565.12,Success,REF5745886820
TXN0000121,ACC000741,MER078,BR020,2025-07-10 05:58:00,Debit,3098.71,UPI,Mobile Banking,95641.63,92542.92,Success,REF7284329638
TXN0000122,ACC002444,MER031,BR015,2026-08-21 19:52:00,Debit,781.4,IMPS,Mobile Banking,55267.91,54486.51,Success,REF7641425748
TXN0000123,ACC004081,MER076,BR022,2025-07-21 22:27:00,Debit,841.16,NEFT,Mobile Banking,79819.95,78978.79,Success,REF6832576869
TXN0000124,ACC000970,MER002,BR018,2025-01-15 18:18:00,Credit,784.91,Debit Card,Mobile Banking,75381.01,76165.92,Success,REF8532565372
TXN0000125,ACC000952,MER031,BR023,2025-09-09 04:56:00,Debit,1822.58,UPI,POS,135271.21,133448.63,Success,REF8606648076
TXN0000126,ACC000802,MER107,BR006,2025-07-10 22:42:00,Debit,987.12,UPI,ATM,86947.12,85960.0,Success,REF4032704964
TXN0000127,ACC003225,MER002,BR014,2025-03-07 18:03:00,Credit,3173.22,Credit Card,Mobile Banking,310802.79,313976.01,Success,REF7204731491
TXN0000128,ACC002454,MER085,BR012,2026-04-20 09:33:00,Debit,1281.79,UPI,POS,12555.79,11274.0,Success,REF2827550145
TXN0000129,ACC000177,MER033,BR003,2026-07-08 08:09:00,Debit,1910.17,UPI,POS,128024.82,126114.65,Success,REF6311246995
TXN0000130,ACC002758,MER043,BR020,2025-09-06 00:15:00,Debit,2665.62,UPI,POS,41082.78,38417.16,Success,REF9140431006
TXN0000131,ACC000791,MER037,BR016,2025-08-31 15:35:00,Debit,4963.03,Credit Card,Internet Banking,68240.07,63277.04,Success,REF9225945715
TXN0000132,ACC004849,MER089,BR018,2025-09-11 17:22:00,Debit,3559.16,UPI,ATM,175532.13,171972.97,Success,REF4138619139
TXN0000133,ACC000724,MER037,BR013,2025-03-25 18:48:00,Debit,36467.48,UPI,Internet Banking,87305.07,50837.59,Success,REF9378635644
TXN0000134,ACC001912,MER054,BR025,2026-03-29 03:19:00,Debit,4313.15,NEFT,Mobile Banking,225070.78,220757.63,Success,REF8016544125
TXN0000135,ACC005358,MER084,BR002,2025-12-23 11:41:00,Debit,1288.92,Credit Card,Internet Banking,124272.28,122983.36,Success,REF9149231205
TXN0000136,ACC002156,MER051,BR020,2025-08-15 05:27:00,Debit,402.08,NEFT,Internet Banking,128928.81,128526.73,Success,REF3541636111
TXN0000137,ACC001959,MER025,BR013,2026-01-25 07:01:00,Debit,3231.22,Credit Card,ATM,62683.11,59451.89,Success,REF1970779598
TXN0000138,ACC004045,MER049,BR015,2025-05-01 11:44:00,Debit,676.54,UPI,POS,102335.19,101658.65,Success,REF9767783789
TXN0000139,ACC003375,MER011,BR009,2025-01-17 13:06:00,Debit,6907.38,IMPS,Mobile Banking,89813.53,82906.15,Success,REF2722898889
TXN0000140,ACC005878,MER002,BR007,2025-12-25 03:22:00,Credit,782.61,NEFT,POS,173352.68,174135.29,Success,REF1819095743
TXN0000141,ACC002456,MER092,BR021,2025-03-21 20:49:00,Debit,1095.3,Debit Card,Mobile Banking,85351.37,84256.07,Success,REF2985188844
TXN0000142,ACC004167,MER043,BR018,2025-03-04 07:28:00,Debit,3430.92,IMPS,Mobile Banking,17018.36,13587.44,Success,REF3916412569
TXN0000143,ACC004862,MER030,BR010,2025-02-03 07:37:00,Debit,3103.42,Debit Card,ATM,110129.99,107026.57,Success,REF9588028226
TXN0000144,ACC004067,MER012,BR022,2025-12-25 09:18:00,Debit,5331.59,Credit Card,Internet Banking,210246.02,204914.43,Success,REF5272920513
TXN0000145,ACC002054,MER112,BR014,2025-11-29 11:59:00,Debit,7662.29,Credit Card,POS,208789.87,201127.58,Success,REF6654635219
TXN0000146,ACC000093,MER027,BR002,2025-04-04 04:53:00,Debit,6233.09,UPI,Mobile Banking,68128.13,61895.04,Success,REF5767111275
TXN0000147,ACC000868,MER119,BR005,2025-01-11 01:14:00,Debit,2619.1,UPI,Mobile Banking,242559.97,239940.87,Success,REF9658718480
TXN0000148,ACC003217,MER001,BR003,2025-12-02 03:14:00,Credit,77932.81,NEFT,Internet Banking,31884.77,109817.58,Success,REF5288949768
TXN0000149,ACC002332,MER018,BR019,2025-06-20 05:40:00,Debit,2266.37,UPI,Mobile Banking,124824.46,122558.09,Success,REF4068352901
TXN0000150,ACC005039,MER098,BR013,2025-05-15 03:52:00,Debit,4772.21,Debit Card,Internet Banking,259359.53,254587.32,Success,REF6122882890
TXN0000151,ACC002955,MER002,BR015,2026-07-26 11:08:00,Credit,459.37,IMPS,Mobile Banking,64374.76,64834.13,Success,REF9946528699
TXN0000152,ACC005427,MER011,BR022,2025-03-09 07:08:00,Debit,5109.71,Debit Card,Internet Banking,225035.42,219925.71,Success,REF4030458182
TXN0000153,ACC001653,MER098,BR015,2025-03-23 03:23:00,Debit,2207.28,UPI,Mobile Banking,55914.43,53707.15,Success,REF3667490426
TXN0000154,ACC003910,MER008,BR002,2026-02-22 16:48:00,Debit,1166.92,UPI,Mobile Banking,108812.86,107645.94,Success,REF9483431677
TXN0000155,ACC004731,MER098,BR007,2026-05-03 16:17:00,Debit,3539.02,Credit Card,Mobile Banking,212606.51,209067.49,Failed,REF9447088119
TXN0000156,ACC002193,MER052,BR018,2025-01-20 16:47:00,Debit,5643.17,UPI,Mobile Banking,134094.7,128451.53,Success,REF1061921810
TXN0000157,ACC003975,MER002,BR006,2025-03-13 02:01:00,Credit,851.79,Debit Card,Internet Banking,128203.97,129055.76,Success,REF2938790313
TXN0000158,ACC002070,MER087,BR022,2025-03-20 01:46:00,Debit,3099.3,Debit Card,Mobile Banking,19206.54,16107.24,Success,REF5393187243
TXN0000159,ACC004992,MER061,BR010,2025-11-28 01:24:00,Debit,932.58,UPI,POS,47584.55,46651.97,Success,REF5051504931
TXN0000160,ACC004195,MER082,BR022,2026-06-07 20:10:00,Debit,3863.44,Debit Card,Mobile Banking,124878.1,121014.66,Success,REF1354807307
TXN0000161,ACC001442,MER073,BR016,2025-03-13 10:39:00,Debit,1034.03,UPI,POS,385767.8,384733.77,Success,REF7237241439
TXN0000162,ACC005322,MER012,BR003,2026-04-28 22:48:00,Debit,2080.19,Credit Card,POS,130289.74,128209.55,Success,REF9069392355
TXN0000163,ACC003952,MER099,BR008,2026-05-06 04:49:00,Debit,1915.22,Credit Card,Internet Banking,113512.91,111597.69,Success,REF5987423065
TXN0000164,ACC001070,MER001,BR013,2025-05-03 17:12:00,Credit,73609.39,NEFT,Internet Banking,84277.13,157886.52,Success,REF5844941112
TXN0000165,ACC005795,MER098,BR023,2025-02-06 10:59:00,Debit,644.06,UPI,Internet Banking,69668.16,69024.1,Failed,REF9281933382
TXN0000166,ACC001703,MER002,BR013,2025-04-24 21:55:00,Credit,1125.33,UPI,POS,201702.46,202827.79,Success,REF8375618848
TXN0000167,ACC005470,MER068,BR004,2026-01-23 14:11:00,Debit,137.63,UPI,Internet Banking,131632.42,131494.79,Success,REF5610599739
TXN0000168,ACC004373,MER031,BR018,2026-03-29 13:32:00,Debit,1175.85,UPI,Internet Banking,90093.05,88917.2,Success,REF6989753032
TXN0000169,ACC001012,MER065,BR015,2025-09-24 02:48:00,Debit,730.45,Credit Card,Mobile Banking,36976.68,36246.23,Success,REF3030794578
TXN0000170,ACC002445,MER007,BR019,2026-01-18 16:20:00,Debit,336.34,UPI,Mobile Banking,193912.26,193575.92,Success,REF5613401854
TXN0000171,ACC003299,MER015,BR025,2025-03-06 03:02:00,Debit,2049.2,IMPS,POS,117927.1,115877.9,Success,REF2438176795
TXN0000172,ACC005578,MER085,BR023,2025-03-27 08:39:00,Debit,2310.74,Debit Card,Internet Banking,63246.8,60936.06,Success,REF4249356665
TXN0000173,ACC004706,MER006,BR017,2026-03-04 02:21:00,Debit,2713.14,NEFT,Mobile Banking,66044.26,63331.12,Success,REF6988941004
TXN0000174,ACC005895,MER074,BR023,2025-04-25 05:27:00,Debit,1917.1,Debit Card,POS,116208.78,114291.68,Success,REF1657753439
TXN0000175,ACC003133,MER022,BR004,2026-03-04 15:25:00,Debit,1792.38,IMPS,Mobile Banking,86757.31,84964.93,Success,REF5207100991
TXN0000176,ACC001274,MER005,BR009,2025-01-04 10:56:00,Debit,221.03,Credit Card,Mobile Banking,128938.23,128717.2,Success,REF7397875165
TXN0000177,ACC002966,MER068,BR020,2026-08-21 23:25:00,Debit,462.75,IMPS,Mobile Banking,121001.74,120538.99,Success,REF7189836856
TXN0000178,ACC004201,MER076,BR023,2025-11-11 11:07:00,Debit,2041.84,UPI,Mobile Banking,29116.11,27074.27,Success,REF1943555075
TXN0000179,ACC003956,MER043,BR007,2025-03-24 00:38:00,Debit,9036.86,UPI,Internet Banking,117697.1,108660.24,Success,REF1168901121
TXN0000180,ACC001525,MER062,BR021,2026-01-30 18:03:00,Debit,1087.43,UPI,Mobile Banking,293076.99,291989.56,Success,REF8209177064
TXN0000181,ACC001797,MER074,BR015,2026-01-02 00:01:00,Debit,1079.94,UPI,Mobile Banking,126295.46,125215.52,Success,REF1051016555
TXN0000182,ACC000027,MER079,BR003,2025-07-29 04:56:00,Debit,1080.36,Debit Card,Mobile Banking,99289.48,98209.12,Success,REF7287519033
TXN0000183,ACC002565,MER001,BR002,2025-08-01 01:59:00,Credit,283118.07,NEFT,Internet Banking,50050.11,333168.18,Success,REF6298856555
TXN0000184,ACC002955,MER083,BR006,2026-04-28 01:34:00,Debit,4303.68,Credit Card,POS,64834.13,60530.45,Success,REF6788672392
TXN0000185,ACC000980,MER039,BR003,2025-08-20 01:17:00,Debit,58.99,Debit Card,Mobile Banking,105403.2,105344.21,Success,REF8509962748
TXN0000186,ACC004420,MER058,BR005,2026-05-05 06:19:00,Debit,1760.91,Debit Card,POS,83718.68,81957.77,Success,REF9162914143
TXN0000187,ACC002230,MER105,BR010,2025-07-09 02:27:00,Debit,1601.49,Credit Card,Mobile Banking,9588.94,7987.45,Success,REF2354042554
